policy,key,seed,source_condition,source_step,paired_step,target_obstacle_distance,relocated_obstacle_body_y,relocated_obstacle_half_width,reference_normal_margin,reference_wrong_history_margin,reference_margin_gap,found_rows,accepted,normal_success,normal_margin,wrong_history_margin,margin_gap,margin_gap_delta_vs_reference
m964_direction_target_a0_15,9982|perturbed|45|39,9982,perturbed,45,39,9.5,-1.2,0.7,0.0149978353286703,-0.0261497596537358,0.0411475949824062,1,False,False,-0.004886464173241567,-0.04003554343131688,0.03514907925807531,-0.00599851572433089
m964_direction_target_a0_15,10033|perturbed|26|23,10033,perturbed,26,23,9.5,-1.2,0.8,0.0155923961580906,0.0026642238052345,0.012928172352856,1,True,True,0.00016544845987409573,-0.00834912416307998,0.008514572622954075,-0.004413599729901924
m964_direction_target_a0_15,10000|perturbed|41|32,10000,perturbed,41,32,10.5,-1.2,0.8,0.1031687161772374,0.1000000722786063,0.0031686438986311,1,True,True,0.10129722562256527,0.09916126554647997,0.002135960076085297,-0.0010326838225458031
m964_direction_target_a0_15,10000|perturbed|35|32,10000,perturbed,35,32,11.0,-1.2,1.0,0.0123530219514804,0.0098659255114006,0.0024870964400798,1,False,True,0.00986790681433014,0.008267382223146269,0.0016005245911838717,-0.0008865718488959284
m964_direction_target_a0_15,9951|perturbed|32|32,9951,perturbed,32,32,9.5,-1.2,0.9,0.1956232312023809,0.1931671709652069,0.0024560602371739,1,False,True,0.19354483348157325,0.1918312375778044,0.0017135959037688497,-0.0007424643334050501
m964_direction_target_a0_15,9907|perturbed|27|18,9907,perturbed,27,18,10.5,-1.2,0.8,0.0073485332252682,-0.0118964383557684,0.0192449715810367,1,True,True,0.002143018845483624,-0.018024795330581878,0.0201678141760655,0.0009228425950288006
m964_direction_target_a0_15,9919|perturbed|37|31,9919,perturbed,37,31,10.0,-0.8,1.4,0.1280510241238719,0.125626650760763,0.0024243733631088,1,True,True,0.12704057552385084,0.12487964714307598,0.0021609283807748625,-0.00026344498233393755
m964_direction_target_a0_15,9919|perturbed|37|31,9919,perturbed,37,31,10.0,-0.8,1.3,0.2280034102600425,0.225709853505799,0.0022935567542434,1,True,True,0.22703601717619737,0.2249683494293535,0.00206766774684386,-0.00022588900739954013
m964_direction_target_a0_15,10004|perturbed|31|31,10004,perturbed,31,31,9.5,-1.0,0.8,0.0003408507153677,-0.0004319160483368,0.0007727667637045,1,False,True,0.0038783441127980822,0.003232766806535281,0.0006455773062628012,-0.00012718945744169877
m964_direction_target_a0_15,10023|perturbed|12|12,10023,perturbed,12,12,11.0,-0.8,1.2,0.049366756123812,0.0473044881675295,0.0020622679562825,1,True,True,0.04939914586646843,0.04730033016365409,0.0020988157028143384,3.654774653183857e-05
m964_direction_target_a0_15,9958|perturbed|39|36,9958,perturbed,39,36,9.5,-1.2,0.9,0.0003789526382989,-0.0017575737172665,0.0021365263555654,1,False,False,-0.0004051726302134462,-0.0025402978083914896,0.0021351251781780434,-1.4011773873568063e-06
m964_direction_target_a0_15,9998|perturbed|25|25,9998,perturbed,25,25,11.0,-1.0,1.4,0.0009823463918734,-0.0006409188329237,0.0016232652247971,1,False,True,0.0018711033714042813,0.00012095907547493567,0.0017501442959293456,0.0001268790711322456
m964_direction_target_a0_15,9951|perturbed|35|32,9951,perturbed,35,32,10.0,-1.2,1.4,0.0009230125498942,-5.206639750454656e-06,0.0009282191896446,1,True,True,0.00013888696200181627,-0.001205811014553415,0.0013446979765552314,0.00041647878691063135
m964_direction_target_a0_15,10038|perturbed|38|38,10038,perturbed,38,38,11.5,-0.8,1.2,0.2890381016548282,0.2856726699034304,0.0033654317513978,1,True,True,0.2915210950433966,0.2875066773859838,0.004014417657412839,0.0006489859060150385
m964_direction_target_a0_15,9910|perturbed|38|35,9910,perturbed,38,35,10.5,-0.8,1.2,0.2832964319330338,0.278028793325102,0.0052676386079317,1,True,True,0.2951950658522011,0.28438446918343674,0.010810596668764383,0.005542958060832683
m964_direction_target_a0_15,9907|perturbed|27|18,9907,perturbed,27,18,10.5,-1.2,0.7,0.1110636578472228,0.0835755297944174,0.0274881280528054,1,True,True,0.09791499966417483,0.07810145434258953,0.019813545321585302,-0.007674582731220098
m964_direction_target_a0_15,10033|perturbed|29|23,10033,perturbed,29,23,9.5,-1.2,0.7,0.0354981689906621,0.0127290479055686,0.0227691210850935,1,True,True,0.02127889292398666,0.004555592253403518,0.01672330067058314,-0.00604582041451036
m964_direction_target_a0_15,10033|perturbed|26|23,10033,perturbed,26,23,9.5,-1.2,0.7,0.1081897916553806,0.0957178523693589,0.0124719392860217,1,True,True,0.09314122936221647,0.08517829456175541,0.007962934800461063,-0.004509004485560637
